date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity
3/25/2021,HI,HIA,Hawaii,1415872,Report,865280,642642,61113,45388,229669,311976,7237,93760,410879,29,16.6,409127,36.7,641261,57460,77534,158444,59,247877,92337,322327,235466,235215,21.1,376400,468780,20100,0,92155,125287,7334,18024,92109,125099,7318,18007,44586,45184,2333,1407,242800,17.1,242533,21.7,93510,34.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,IA,IAA,Iowa,3155070,Report,1636025,1369302,51854,43400,715446,617914,35823,119,877325,27.8,15.7,875333,36,1366518,56276,67375,425172,76.9,699275,126462,295870,493866,493040,20.3,796200,794625,45200,0,267528,226321,36172,17,267517,225506,36161,17,140599,134006,2905,11,530038,16.8,529201,21.8,277521,50.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,ID,IDA,Idaho,1787065,Report,863505,678747,48320,37981,333883,332106,12529,229,418189,23.4,14,418155,31.2,678719,50694,64495,201213,69.2,340370,117098,297074,249722,249712,18.7,438600,401505,23400,0,126342,123330,12351,50,126340,123322,12345,50,63833,73767,3790,28,262073,14.7,262057,19.6,141418,48.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,IL,ILA,Illinois,12671821,Report,6697605,5287852,52854,41729,2526673,2657928,101024,2227,3481498,27.5,14,3471396,35.2,5274853,53530,67969,1432366,70.1,2243230,109788,327795,1773806,1771020,18,3156600,3361605,179400,0,853327,919760,98308,719,853079,917223,98129,718,404846,408944,21847,469,1872114,14.8,1869149,19,836106,40.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,IN,INA,Indiana,6732219,Report,3191470,2540707,47406,37740,1158269,1334635,44202,3601,1554964,23.1,14.4,1553948,30.1,2539305,49171,61799,767622,70.7,1409938,129859,293943,966838,966441,18.7,1528000,1565070,98400,0,456573,509015,44433,1250,456539,508652,44429,1250,329874,292255,6094,919,1011271,15,1010870,19.6,629142,57.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,KS,KSA,Kansas,2913314,Report,1586255,1140488,54448,39147,599906,523717,16640,225,779552,26.8,13.8,777539,35.1,1138044,51424,71677,363330,76.4,546209,114874,333606,403113,402458,18.2,810800,734955,40500,0,213295,189722,17197,96,213273,189089,17190,96,105644,99026,4472,63,420310,14.4,419648,19,209205,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,KY,KYA,Kentucky,4467673,Report,2258935,1876610,50562,42004,901153,934415,40914,128,1271160,28.5,13.9,1267978,36.6,1872257,54036,65197,520372,69.3,801273,106756,300965,622961,622460,18,1085100,1117935,55900,0,300204,322670,38773,87,300186,322187,38754,87,124094,173485,11923,59,661734,14.8,661214,19.1,309561,41.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,LA,LAA,Louisiana,4648794,Report,2411250,1756494,51868,37784,773530,935091,47068,805,1113976,24,13.1,1111876,31.2,1754206,49259,67710,503124,67.9,898096,121197,325395,609936,609787,17.1,1162400,1183650,65200,0,242364,367209,45774,363,242346,367079,45746,362,165014,211695,10556,73,655710,14.1,655533,18.4,387338,52.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,MA,MAA,Massachusetts,6892503,Report,3773250,3196050,54744,46370,1563224,1555358,77416,52,2107488,30.6,15.4,2102133,37.9,3188411,57556,68113,917260,78.4,1423874,121768,322684,1060002,1057891,19.1,1848200,1823250,101800,0,511255,548739,77411,8,511134,546749,77371,8,220237,285797,37437,4,1137413,16.5,1135262,20.5,543475,46.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,MD,MDA,Maryland,6045680,Report,3256200,2464830,53860,40770,1181912,1219867,61504,1547,1671238,27.6,13.8,1666994,35.4,2459678,52211,69119,691673,72.1,1043202,108735,339401,835730,834868,17.7,1534600,1638000,83600,0,401898,433408,60477,424,401854,432590,60465,424,179761,189252,23915,198,896207,14.8,895333,19,393126,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
