city_town,count,hostpialized,deaths,fully_vaccinated,date
Pawtucket,2424,210,51,,2020-09-30
Pending further information,855,96,<5,,2020-09-30
Portsmouth,82,<5,0,,2020-09-30
Providence,8344,871,292,,2020-09-30
Richmond,36,5,0,,2020-09-30
Scituate,75,<5,<5,,2020-09-30
Smithfield,394,74,53,,2020-09-30
South Kingstown,139,15,17,,2020-09-30
TOTAL,23548,2355,1108,,2020-09-30
Tiverton,133,<5,5,,2020-09-30
Warren,114,7,7,,2020-09-30
Warwick,977,86,74,,2020-09-30
West Greenwich,34,0,0,,2020-09-30
West Warwick,427,45,22,,2020-09-30
Westerly,121,11,<5,,2020-09-30
Woonsocket,875,113,83,,2020-09-30
Barrington,85,8,0,,2020-10-07
Bristol,229,15,9,,2020-10-07
Burrillville,168,20,22,,2020-10-07
Central Falls,1305,100,12,,2020-10-07
Charlestown,42,5,<5,,2020-10-07
Coventry,378,39,15,,2020-10-07
Cranston,1677,165,27,,2020-10-07
Cumberland,546,59,31,,2020-10-07
East Greenwich,155,10,<5,,2020-10-07
East Providence,943,99,112,,2020-10-07
Exeter,53,7,<5,,2020-10-07
Foster,34,<5,0,,2020-10-07
Glocester,71,<5,0,,2020-10-07
Hopkinton,20,<5,<5,,2020-10-07
Jamestown,31,<5,0,,2020-10-07
Johnston,721,69,67,,2020-10-07
Lincoln,392,39,37,,2020-10-07
Little Compton,17,0,<5,,2020-10-07
Middletown,90,8,<5,,2020-10-07
Narragansett,189,8,0,,2020-10-07
New Shoreham,6,0,0,,2020-10-07
Newport,184,17,<5,,2020-10-07
North Kingstown,327,36,52,,2020-10-07
North Providence,1065,127,81,,2020-10-07
North Smithfield,177,19,27,,2020-10-07
Pawtucket,2537,215,52,,2020-10-07
Pending further information,898,99,<5,,2020-10-07
Portsmouth,87,<5,0,,2020-10-07
Providence,8612,889,294,,2020-10-07
Richmond,36,5,0,,2020-10-07
Scituate,77,<5,<5,,2020-10-07
Smithfield,409,76,56,,2020-10-07
South Kingstown,149,16,18,,2020-10-07
TOTAL,24482,2417,1120,,2020-10-07
Tiverton,136,<5,5,,2020-10-07
Warren,116,8,7,,2020-10-07
Warwick,1013,87,75,,2020-10-07
West Greenwich,35,0,0,,2020-10-07
West Warwick,437,46,22,,2020-10-07
Westerly,133,11,<5,,2020-10-07
Woonsocket,902,115,83,,2020-10-07
Barrington,93,8,0,,2020-10-14
Bristol,242,16,9,,2020-10-14
Burrillville,177,20,22,,2020-10-14
Central Falls,1348,103,12,,2020-10-14
Charlestown,44,5,<5,,2020-10-14
Coventry,396,41,17,,2020-10-14
Cranston,1778,177,28,,2020-10-14
Cumberland,574,65,33,,2020-10-14
East Greenwich,161,11,<5,,2020-10-14
East Providence,977,103,112,,2020-10-14
Exeter,58,8,<5,,2020-10-14
Foster,40,<5,0,,2020-10-14
Glocester,73,<5,0,,2020-10-14
Hopkinton,21,<5,<5,,2020-10-14
Jamestown,36,<5,0,,2020-10-14
Johnston,753,75,69,,2020-10-14
Lincoln,408,40,37,,2020-10-14
Little Compton,18,0,<5,,2020-10-14
Middletown,92,8,<5,,2020-10-14
Narragansett,274,8,0,,2020-10-14
New Shoreham,7,0,0,,2020-10-14
Newport,192,17,<5,,2020-10-14
North Kingstown,349,36,53,,2020-10-14
North Providence,1109,128,81,,2020-10-14
North Smithfield,187,19,27,,2020-10-14
Pawtucket,2655,224,52,,2020-10-14
Pending further information,952,108,<5,,2020-10-14
Portsmouth,92,<5,0,,2020-10-14
Providence,8921,914,296,,2020-10-14
Richmond,37,5,0,,2020-10-14
Scituate,81,<5,<5,,2020-10-14
Smithfield,420,76,56,,2020-10-14
South Kingstown,176,16,18,,2020-10-14
TOTAL,25698,2511,1132,,2020-10-14
Tiverton,152,<5,5,,2020-10-14
Warren,126,11,8,,2020-10-14
Warwick,1083,92,76,,2020-10-14
West Greenwich,39,<5,0,,2020-10-14
West Warwick,466,47,22,,2020-10-14
Westerly,153,11,<5,,2020-10-14
Woonsocket,938,119,83,,2020-10-14
Barrington,100,8,0,,2020-10-21
Bristol,267,17,9,,2020-10-21
Burrillville,194,20,22,,2020-10-21
Central Falls,1463,107,12,,2020-10-21
Charlestown,47,5,<5,,2020-10-21
Coventry,432,42,18,,2020-10-21
Cranston,1911,188,30,,2020-10-21
Cumberland,616,66,35,,2020-10-21
East Greenwich,174,11,<5,,2020-10-21
East Providence,1016,103,112,,2020-10-21
Exeter,61,8,<5,,2020-10-21
Foster,44,<5,0,,2020-10-21
Glocester,73,5,0,,2020-10-21
Hopkinton,21,<5,<5,,2020-10-21
Jamestown,42,<5,0,,2020-10-21
Johnston,813,84,82,,2020-10-21
Lincoln,434,41,37,,2020-10-21
Little Compton,19,0,<5,,2020-10-21
Middletown,94,8,<5,,2020-10-21
Narragansett,326,8,0,,2020-10-21
New Shoreham,7,0,0,,2020-10-21
Newport,205,17,<5,,2020-10-21
North Kingstown,372,36,53,,2020-10-21
North Providence,1163,129,81,,2020-10-21
North Smithfield,204,22,28,,2020-10-21
Pawtucket,2812,233,54,,2020-10-21
Pending further information,1080,118,<5,,2020-10-21
Portsmouth,103,<5,0,,2020-10-21
Providence,9288,941,296,,2020-10-21
Richmond,38,5,0,,2020-10-21
Scituate,84,<5,<5,,2020-10-21
Smithfield,443,77,56,,2020-10-21
South Kingstown,194,16,18,,2020-10-21
TOTAL,27274,2601,1155,,2020-10-21
Tiverton,168,<5,5,,2020-10-21
Warren,131,11,9,,2020-10-21
Warwick,1135,94,76,,2020-10-21
West Greenwich,52,<5,0,,2020-10-21
West Warwick,494,48,22,,2020-10-21
Westerly,169,11,<5,,2020-10-21
Woonsocket,985,122,84,,2020-10-21
Barrington,121,11,0,,2020-10-28
Bristol,289,18,9,,2020-10-28
Burrillville,214,22,22,,2020-10-28
Central Falls,1641,112,12,,2020-10-28
Charlestown,51,5,<5,,2020-10-28
Coventry,482,48,20,,2020-10-28
Cranston,2130,197,33,,2020-10-28
Cumberland,672,74,38,,2020-10-28
East Greenwich,208,13,<5,,2020-10-28
East Providence,1090,105,113,,2020-10-28
Exeter,63,8,<5,,2020-10-28
Foster,48,<5,0,,2020-10-28
Glocester,92,7,0,,2020-10-28
Hopkinton,24,<5,<5,,2020-10-28
Jamestown,42,<5,0,,2020-10-28
Johnston,902,88,90,,2020-10-28
Lincoln,472,43,37,,2020-10-28
Little Compton,22,0,<5,,2020-10-28
Middletown,101,8,<5,,2020-10-28
Narragansett,362,9,0,,2020-10-28
New Shoreham,7,0,0,,2020-10-28
Newport,222,18,<5,,2020-10-28
North Kingstown,394,38,53,,2020-10-28
North Providence,1246,137,81,,2020-10-28
North Smithfield,226,22,28,,2020-10-28
Pawtucket,3060,243,54,,2020-10-28
Pending further information,1322,128,<5,,2020-10-28
Portsmouth,109,<5,0,,2020-10-28
Providence,9901,982,301,,2020-10-28
Richmond,42,6,0,,2020-10-28
Scituate,97,<5,<5,,2020-10-28
Smithfield,482,77,56,,2020-10-28
South Kingstown,207,17,19,,2020-10-28
TOTAL,29779,2737,1183,,2020-10-28
Tiverton,182,<5,5,,2020-10-28
Warren,148,12,10,,2020-10-28
Warwick,1257,103,78,,2020-10-28
West Greenwich,69,<5,0,,2020-10-28
West Warwick,550,51,22,,2020-10-28
Westerly,185,11,<5,,2020-10-28
Woonsocket,1047,124,85,,2020-10-28
Barrington,152,12,0,,2020-11-04
Bristol,323,19,9,,2020-11-04
Burrillville,242,22,23,,2020-11-04
Central Falls,1844,118,12,,2020-11-04
Charlestown,56,6,<5,,2020-11-04
Coventry,530,50,21,,2020-11-04
Cranston,2405,215,35,,2020-11-04
Cumberland,749,78,40,,2020-11-04
East Greenwich,236,16,<5,,2020-11-04
East Providence,1187,112,113,,2020-11-04
Exeter,66,8,<5,,2020-11-04
Foster,60,<5,0,,2020-11-04
Glocester,112,9,0,,2020-11-04
Hopkinton,27,<5,<5,,2020-11-04
Jamestown,48,<5,0,,2020-11-04
Johnston,1003,93,91,,2020-11-04
Lincoln,518,47,37,,2020-11-04
Little Compton,26,0,<5,,2020-11-04
Middletown,130,10,<5,,2020-11-04
Narragansett,380,9,<5,,2020-11-04
New Shoreham,8,0,0,,2020-11-04
Newport,243,20,<5,,2020-11-04
North Kingstown,433,41,53,,2020-11-04
North Providence,1364,114,82,,2020-11-04
North Smithfield,246,22,28,,2020-11-04
Pawtucket,3309,257,56,,2020-11-04
Pending further information,1544,141,<5,,2020-11-04
Portsmouth,140,<5,0,,2020-11-04
Providence,10522,1015,307,,2020-11-04
Richmond,44,6,0,,2020-11-04
Scituate,116,<5,<5,,2020-11-04
Smithfield,520,80,58,,2020-11-04
South Kingstown,221,17,19,,2020-11-04
TOTAL,32657,2866,1207,,2020-11-04
Tiverton,210,<5,5,,2020-11-04
Warren,186,20,11,,2020-11-04
Warwick,1443,115,80,,2020-11-04
West Greenwich,76,<5,0,,2020-11-04
West Warwick,623,56,22,,2020-11-04
Westerly,203,11,<5,,2020-11-04
Woonsocket,1112,127,87,,2020-11-04
Barrington,172,16,0,,2020-11-11
Bristol,448,25,9,,2020-11-11
Burrillville,264,23,23,,2020-11-11
Central Falls,2032,124,12,,2020-11-11
Charlestown,65,6,<5,,2020-11-11
Coventry,627,54,24,,2020-11-11
Cranston,2758,231,36,,2020-11-11
Cumberland,825,86,42,,2020-11-11
East Greenwich,289,18,<5,,2020-11-11
East Providence,1320,120,115,,2020-11-11
Exeter,77,8,<5,,2020-11-11
Foster,67,<5,0,,2020-11-11
Glocester,133,11,<5,,2020-11-11
Hopkinton,36,5,<5,,2020-11-11
Jamestown,60,<5,0,,2020-11-11
Johnston,1146,99,96,,2020-11-11
Lincoln,570,48,37,,2020-11-11
Little Compton,29,0,<5,,2020-11-11
Middletown,149,10,<5,,2020-11-11
Narragansett,406,9,<5,,2020-11-11
New Shoreham,11,0,0,,2020-11-11
Newport,279,21,<5,,2020-11-11
North Kingstown,494,45,53,,2020-11-11
North Providence,1485,155,84,,2020-11-11
North Smithfield,277,25,28,,2020-11-11
Pawtucket,3632,176,56,,2020-11-11
Pending further information,1839,148,<5,,2020-11-11
Portsmouth,154,<5,0,,2020-11-11
Providence,11365,1057,311,,2020-11-11
Richmond,52,7,0,,2020-11-11
Scituate,137,<5,<5,,2020-11-11
Smithfield,575,80,58,,2020-11-11
South Kingstown,237,18,19,,2020-11-11
TOTAL,36375,2982,1232,,2020-11-11
Tiverton,235,<5,5,,2020-11-11
Warren,232,26,14,,2020-11-11
Warwick,1667,122,81,,2020-11-11
West Greenwich,83,<5,0,,2020-11-11
West Warwick,702,60,22,,2020-11-11
Westerly,224,12,<5,,2020-11-11
Woonsocket,1222,137,88,,2020-11-11
Barrington,218,17,0,,2020-11-18
Bristol,557,33,12,,2020-11-18
Burrillville,300,24,23,,2020-11-18
Central Falls,2263,130,13,,2020-11-18
Charlestown,77,6,<5,,2020-11-18
Coventry,776,58,25,,2020-11-18
Cranston,3350,251,37,,2020-11-18
Cumberland,952,93,43,,2020-11-18
East Greenwich,358,19,<5,,2020-11-18
East Providence,1536,132,116,,2020-11-18
Exeter,92,9,<5,,2020-11-18
Foster,86,<5,<5,,2020-11-18
Glocester,162,13,<5,,2020-11-18
Hopkinton,49,5,<5,,2020-11-18
Jamestown,72,5,0,,2020-11-18
Johnston,1328,104,98,,2020-11-18
Lincoln,671,51,38,,2020-11-18
Little Compton,32,<5,<5,,2020-11-18
Middletown,174,11,<5,,2020-11-18
Narragansett,449,11,<5,,2020-11-18
New Shoreham,13,0,0,,2020-11-18
Newport,317,21,<5,,2020-11-18
North Kingstown,600,49,57,,2020-11-18
North Providence,1689,163,85,,2020-11-18
North Smithfield,305,26,30,,2020-11-18
Pawtucket,4082,302,56,,2020-11-18
Pending further information,2224,169,<5,,2020-11-18
Portsmouth,184,<5,0,,2020-11-18
Providence,12601,1116,317,,2020-11-18
Richmond,65,7,0,,2020-11-18
Scituate,159,5,<5,,2020-11-18
Smithfield,691,85,59,,2020-11-18
South Kingstown,269,19,19,,2020-11-18
TOTAL,41869,3322,1265,,2020-11-18
Tiverton,267,<5,5,,2020-11-18
Warren,269,29,14,,2020-11-18
Warwick,2049,133,85,,2020-11-18
West Greenwich,100,<5,0,,2020-11-18
West Warwick,869,64,22,,2020-11-18
Westerly,277,15,<5,,2020-11-18
Woonsocket,1337,147,90,,2020-11-18
Barrington,271,19,<5,,2020-11-25
Bristol,665,38,19,,2020-11-25
Burrillville,361,30,23,,2020-11-25
Central Falls,2490,135,15,,2020-11-25
Charlestown,98,6,<5,,2020-11-25
Coventry,973,63,26,,2020-11-25
Cranston,4160,281,38,,2020-11-25
Cumberland,1097,97,43,,2020-11-25
East Greenwich,438,22,<5,,2020-11-25
East Providence,1790,153,117,,2020-11-25
Exeter,124,9,<5,,2020-11-25
Foster,104,<5,<5,,2020-11-25
Glocester,193,14,<5,,2020-11-25
Hopkinton,65,5,<5,,2020-11-25
Jamestown,83,5,0,,2020-11-25
Johnston,1576,116,98,,2020-11-25
Lincoln,779,59,39,,2020-11-25
Little Compton,33,<5,<5,,2020-11-25
Middletown,200,12,<5,,2020-11-25
Narragansett,495,15,<5,,2020-11-25
New Shoreham,16,0,0,,2020-11-25
Newport,383,25,<5,,2020-11-25
North Kingstown,722,54,58,,2020-11-25
North Providence,1913,173,87,,2020-11-25
North Smithfield,339,27,32,,2020-11-25
Pawtucket,4593,324,58,,2020-11-25
Pending further information,2481,186,<5,,2020-11-25
Portsmouth,212,<5,0,,2020-11-25
Providence,14075,1189,324,,2020-11-25
Richmond,73,7,0,,2020-11-25
Scituate,203,7,<5,,2020-11-25
Smithfield,822,89,59,,2020-11-25
South Kingstown,295,19,20,,2020-11-25
TOTAL,48325,3611,1303,,2020-11-25
Tiverton,306,<5,5,,2020-11-25
Warren,308,32,14,,2020-11-25
Warwick,2582,154,88,,2020-11-25
West Greenwich,118,5,0,,2020-11-25
West Warwick,1069,68,23,,2020-11-25
Westerly,335,18,<5,,2020-11-25
Woonsocket,1485,155,91,,2020-11-25
Barrington,318,20,<5,,2020-12-02
Bristol,721,39,27,,2020-12-02
Burrillville,449,35,24,,2020-12-02
Central Falls,2666,138,17,,2020-12-02
Charlestown,125,7,<5,,2020-12-02
Coventry,1186,72,28,,2020-12-02
Cranston,4991,315,39,,2020-12-02
Cumberland,1239,101,43,,2020-12-02
East Greenwich,511,22,<5,,2020-12-02
East Providence,1996,165,121,,2020-12-02
Exeter,153,10,5,,2020-12-02
Foster,126,<5,<5,,2020-12-02
Glocester,230,16,<5,,2020-12-02
Hopkinton,133,8,<5,,2020-12-02
Jamestown,91,6,0,,2020-12-02
Johnston,1814,128,101,,2020-12-02
Lincoln,910,67,40,,2020-12-02
Little Compton,41,<5,<5,,2020-12-02
Middletown,228,13,<5,,2020-12-02
Narragansett,531,15,<5,,2020-12-02
New Shoreham,18,0,0,,2020-12-02
Newport,429,29,<5,,2020-12-02
North Kingstown,835,59,60,,2020-12-02
North Providence,2100,185,87,,2020-12-02
North Smithfield,401,34,33,,2020-12-02
Pawtucket,5049,340,62,,2020-12-02
Pending further information,2421,179,5,,2020-12-02
Portsmouth,244,<5,0,,2020-12-02
Providence,15384,1250,337,,2020-12-02
Richmond,99,9,0,,2020-12-02
Scituate,250,9,<5,,2020-12-02
Smithfield,930,92,59,,2020-12-02
South Kingstown,357,22,21,,2020-12-02
TOTAL,54126,3869,1359,,2020-12-02
Tiverton,347,<5,5,,2020-12-02
Warren,330,32,16,,2020-12-02
Warwick,3046,183,93,,2020-12-02
West Greenwich,156,6,0,,2020-12-02
West Warwick,1210,75,23,,2020-12-02
Westerly,390,22,<5,,2020-12-02
Woonsocket,1671,166,93,,2020-12-02
Barrington,403,22,<5,,2020-12-09
Bristol,810,44,31,,2020-12-09
Burrillville,664,38,26,,2020-12-09
Central Falls,2891,149,17,,2020-12-09
Charlestown,159,10,<5,,2020-12-09
Coventry,1508,84,29,,2020-12-09
Cranston,5863,370,46,,2020-12-09
Cumberland,1525,113,47,,2020-12-09
East Greenwich,601,25,<5,,2020-12-09
East Providence,2359,185,124,,2020-12-09
Exeter,195,13,5,,2020-12-09
Foster,157,<5,<5,,2020-12-09
Glocester,283,17,<5,,2020-12-09
Hopkinton,185,9,<5,,2020-12-09
Jamestown,111,7,0,,2020-12-09
Johnston,2207,148,106,,2020-12-09
Lincoln,1107,92,41,,2020-12-09
Little Compton,43,<5,<5,,2020-12-09
Middletown,286,17,<5,,2020-12-09
Narragansett,583,18,<5,,2020-12-09
New Shoreham,20,0,0,,2020-12-09
Newport,507,34,<5,,2020-12-09
North Kingstown,970,68,60,,2020-12-09
North Providence,2379,201,91,,2020-12-09
North Smithfield,504,41,34,,2020-12-09
Pawtucket,5714,372,64,,2020-12-09
Pending further information,2939,209,5,,2020-12-09
Portsmouth,285,<5,0,,2020-12-09
Providence,17140,1350,351,,2020-12-09
Richmond,122,10,0,,2020-12-09
Scituate,326,11,<5,,2020-12-09
Smithfield,1136,99,61,,2020-12-09
South Kingstown,416,27,22,,2020-12-09
TOTAL,62870,4364,1431,,2020-12-09
Tiverton,416,5,6,,2020-12-09
Warren,371,32,17,,2020-12-09
Warwick,3614,229,99,,2020-12-09
West Greenwich,187,7,0,,2020-12-09
West Warwick,1432,87,24,,2020-12-09
Westerly,494,26,5,,2020-12-09
Woonsocket,1958,195,102,,2020-12-09
Barrington,485,22,<5,,2020-12-16
Bristol,902,50,35,,2020-12-16
Burrillville,795,40,36,,2020-12-16
Central Falls,3036,160,17,,2020-12-16
Charlestown,192,10,<5,,2020-12-16
Coventry,1759,97,32,,2020-12-16
Cranston,6606,414,57,,2020-12-16
Cumberland,1834,124,53,,2020-12-16
East Greenwich,704,30,<5,,2020-12-16
East Providence,2768,207,127,,2020-12-16
Exeter,231,14,5,,2020-12-16
Foster,187,5,<5,,2020-12-16
Glocester,369,19,<5,,2020-12-16
Hopkinton,229,10,<5,,2020-12-16
Jamestown,137,6,0,,2020-12-16
Johnston,2513,173,114,,2020-12-16
Lincoln,1281,108,43,,2020-12-16
Little Compton,51,<5,<5,,2020-12-16
Middletown,345,18,<5,,2020-12-16
Narragansett,664,21,<5,,2020-12-16
New Shoreham,32,0,0,,2020-12-16
Newport,605,36,<5,,2020-12-16
North Kingstown,1105,74,61,,2020-12-16
North Providence,2659,216,93,,2020-12-16
North Smithfield,600,43,36,,2020-12-16
Pawtucket,6360,404,70,,2020-12-16
Pending further information,3253,208,6,,2020-12-16
Portsmouth,345,<5,0,,2020-12-16
Providence,18822,1428,365,,2020-12-16
Richmond,137,13,0,,2020-12-16
Scituate,397,13,<5,,2020-12-16
Smithfield,1338,117,66,,2020-12-16
South Kingstown,511,34,23,,2020-12-16
TOTAL,71054,4769,1535,,2020-12-16
Tiverton,482,7,6,,2020-12-16
Warren,429,34,17,,2020-12-16
Warwick,4132,252,103,,2020-12-16
West Greenwich,218,7,0,,2020-12-16
West Warwick,1623,97,28,,2020-12-16
Westerly,612,37,9,,2020-12-16
Woonsocket,2306,216,109,,2020-12-16
Barrington,547,27,<5,,2020-12-23
Bristol,997,50,35,,2020-12-23
Burrillville,910,47,43,,2020-12-23
Central Falls,3158,168,20,,2020-12-23
Charlestown,224,12,<5,,2020-12-23
Coventry,1983,109,45,,2020-12-23
Cranston,7177,442,68,,2020-12-23
Cumberland,2052,140,54,,2020-12-23
East Greenwich,789,36,<5,,2020-12-23
East Providence,3061,235,131,,2020-12-23
Exeter,258,18,6,,2020-12-23
Foster,201,5,<5,,2020-12-23
Glocester,418,19,<5,,2020-12-23
Hopkinton,262,11,<5,,2020-12-23
Jamestown,147,7,0,,2020-12-23
Johnston,2705,186,120,,2020-12-23
Lincoln,1427,119,46,,2020-12-23
Little Compton,63,<5,<5,,2020-12-23
Middletown,413,19,<5,,2020-12-23
Narragansett,721,22,<5,,2020-12-23
New Shoreham,35,0,0,,2020-12-23
Newport,684,37,<5,,2020-12-23
North Kingstown,1192,79,61,,2020-12-23
North Providence,2817,226,95,,2020-12-23
North Smithfield,674,47,38,,2020-12-23
Pawtucket,6811,441,75,,2020-12-23
Pending further information,3399,219,7,,2020-12-23
Portsmouth,425,<5,0,,2020-12-23
Providence,19932,1504,382,,2020-12-23
Richmond,148,13,0,,2020-12-23
Scituate,443,14,<5,,2020-12-23
Smithfield,1514,138,77,,2020-12-23
South Kingstown,574,35,23,,2020-12-23
TOTAL,77097,5141,1653,,2020-12-23
Tiverton,549,7,6,,2020-12-23
Warren,521,37,18,,2020-12-23
Warwick,4530,278,111,,2020-12-23
West Greenwich,242,7,0,,2020-12-23
West Warwick,1751,103,29,,2020-12-23
Westerly,721,46,13,,2020-12-23
Woonsocket,2622,233,124,,2020-12-23
Barrington,651,33,<5,,2020-12-30
Bristol,1153,58,35,,2020-12-30
Burrillville,985,47,46,,2020-12-30
Central Falls,3259,174,20,,2020-12-30
Charlestown,253,15,<5,,2020-12-30
Coventry,2128,116,49,,2020-12-30
Cranston,7625,472,70,,2020-12-30
Cumberland,2192,151,58,,2020-12-30
East Greenwich,835,37,<5,,2020-12-30
East Providence,3329,261,142,,2020-12-30
Exeter,277,19,6,,2020-12-30
Foster,227,6,<5,,2020-12-30
Glocester,454,19,<5,,2020-12-30
Hopkinton,289,15,<5,,2020-12-30
Jamestown,161,7,0,,2020-12-30
Johnston,2854,203,125,,2020-12-30
Lincoln,1532,137,51,,2020-12-30
Little Compton,71,<5,<5,,2020-12-30
Middletown,477,24,<5,,2020-12-30
Narragansett,781,24,<5,,2020-12-30
New Shoreham,35,0,0,,2020-12-30
Newport,750,39,<5,,2020-12-30
North Kingstown,1270,84,63,,2020-12-30
North Providence,2959,241,96,,2020-12-30
North Smithfield,722,48,42,,2020-12-30
Pawtucket,7109,457,80,,2020-12-30
Pending further information,3624,239,6,,2020-12-30
Portsmouth,503,8,0,,2020-12-30
Providence,20783,1562,395,,2020-12-30
Richmond,167,14,0,,2020-12-30
Scituate,478,19,<5,,2020-12-30
Smithfield,1605,147,84,,2020-12-30
South Kingstown,617,36,26,,2020-12-30
TOTAL,81951,5482,1738,,2020-12-30
Tiverton,633,8,6,,2020-12-30
Warren,599,41,18,,2020-12-30
Warwick,4810,302,113,,2020-12-30
West Greenwich,262,7,0,,2020-12-30
West Warwick,1866,107,31,,2020-12-30
Westerly,793,52,15,,2020-12-30
Woonsocket,2833,252,135,,2020-12-30
Barrington,732,45,6,,2021-01-06
Bristol,1373,68,42,,2021-01-06
Burrillville,1102,47,48,,2021-01-06
Central Falls,3408,183,21,,2021-01-06
Charlestown,297,15,<5,,2021-01-06
Coventry,2302,128,52,,2021-01-06
Cranston,8143,490,79,,2021-01-06
Cumberland,2423,160,62,,2021-01-06
East Greenwich,927,39,<5,,2021-01-06
East Providence,3625,288,155,,2021-01-06
Exeter,305,20,6,,2021-01-06
Foster,255,7,<5,,2021-01-06
Glocester,488,23,<5,,2021-01-06
Hopkinton,321,16,<5,,2021-01-06
Jamestown,193,7,<5,,2021-01-06
Johnston,3049,215,128,,2021-01-06
Lincoln,1667,145,54,,2021-01-06
Little Compton,89,<5,<5,,2021-01-06
Middletown,565,25,<5,,2021-01-06
Narragansett,855,25,<5,,2021-01-06
New Shoreham,37,0,0,,2021-01-06
Newport,891,42,<5,,2021-01-06
North Kingstown,1381,90,65,,2021-01-06
North Providence,3122,253,100,,2021-01-06
North Smithfield,807,51,43,,2021-01-06
Pawtucket,7541,478,84,,2021-01-06
Pending further information,4151,248,6,,2021-01-06
Portsmouth,607,10,0,,2021-01-06
Providence,21834,1615,409,,2021-01-06
Richmond,189,14,0,,2021-01-06
Scituate,522,22,<5,,2021-01-06
Smithfield,1754,156,96,,2021-01-06
South Kingstown,692,36,28,,2021-01-06
TOTAL,88677,5796,1870,,2021-01-06
Tiverton,724,10,6,,2021-01-06
Warren,729,48,23,,2021-01-06
Warwick,5233,330,124,,2021-01-06
West Greenwich,292,9,<5,,2021-01-06
West Warwick,2029,117,35,,2021-01-06
Westerly,917,57,19,,2021-01-06
Woonsocket,3106,263,153,,2021-01-06
Barrington,829,52,7,,2021-01-13
Bristol,1568,74,48,,2021-01-13
Burrillville,1214,50,48,,2021-01-13
Central Falls,3568,190,21,,2021-01-13
Charlestown,322,15,<5,,2021-01-13
Coventry,2519,137,55,,2021-01-13
Cranston,8755,526,85,,2021-01-13
Cumberland,2654,165,64,,2021-01-13
East Greenwich,1042,44,5,,2021-01-13
East Providence,3951,304,157,,2021-01-13
Exeter,336,20,6,,2021-01-13
Foster,295,7,<5,,2021-01-13
Glocester,531,23,<5,,2021-01-13
Hopkinton,348,20,<5,,2021-01-13
Jamestown,228,7,<5,,2021-01-13
Johnston,3314,228,134,,2021-01-13
Lincoln,1844,152,56,,2021-01-13
Little Compton,107,<5,<5,,2021-01-13
Middletown,651,30,<5,,2021-01-13
Narragansett,949,27,<5,,2021-01-13
New Shoreham,38,0,0,,2021-01-13
Newport,1026,46,<5,,2021-01-13
North Kingstown,1519,95,66,,2021-01-13
North Providence,3374,264,102,,2021-01-13
North Smithfield,888,60,45,,2021-01-13
Pawtucket,8072,500,85,,2021-01-13
Pending further information,4552,261,6,,2021-01-13
Portsmouth,756,14,<5,,2021-01-13
Providence,23219,1678,420,,2021-01-13
Richmond,212,14,0,,2021-01-13
Scituate,573,23,<5,,2021-01-13
Smithfield,1897,165,100,,2021-01-13
South Kingstown,757,40,28,,2021-01-13
TOTAL,96230,6130,1939,,2021-01-13
Tiverton,810,12,6,,2021-01-13
Warren,854,53,23,,2021-01-13
Warwick,5709,356,131,,2021-01-13
West Greenwich,340,9,<5,,2021-01-13
West Warwick,2192,126,36,,2021-01-13
Westerly,1040,59,22,,2021-01-13
Woonsocket,3377,282,159,,2021-01-13
Barrington,899,56,9,,2021-01-20
Bristol,1690,80,56,,2021-01-20
Burrillville,1300,51,48,,2021-01-20
Central Falls,3689,196,22,,2021-01-20
Charlestown,347,16,<5,,2021-01-20
Coventry,2694,148,57,,2021-01-20
Cranston,9186,549,86,,2021-01-20
Cumberland,2849,177,67,,2021-01-20
East Greenwich,1148,46,7,,2021-01-20
East Providence,4196,316,165,,2021-01-20
Exeter,361,21,6,,2021-01-20
Foster,327,9,<5,,2021-01-20
Glocester,568,23,5,,2021-01-20
Hopkinton,376,20,<5,,2021-01-20
Jamestown,241,8,<5,,2021-01-20
Johnston,3500,241,138,,2021-01-20
Lincoln,1954,156,59,,2021-01-20
Little Compton,129,<5,<5,,2021-01-20
Middletown,712,33,<5,,2021-01-20
Narragansett,993,30,<5,,2021-01-20
New Shoreham,44,0,0,,2021-01-20
Newport,1159,50,<5,,2021-01-20
North Kingstown,1598,101,68,,2021-01-20
North Providence,3534,270,104,,2021-01-20
North Smithfield,960,65,49,,2021-01-20
Pawtucket,8519,533,87,,2021-01-20
Pending further information,4784,279,6,,2021-01-20
Portsmouth,867,16,<5,,2021-01-20
Providence,24253,1751,429,,2021-01-20
Richmond,228,16,<5,,2021-01-20
Scituate,623,25,<5,,2021-01-20
Smithfield,2019,174,107,,2021-01-20
South Kingstown,792,41,30,,2021-01-20
TOTAL,101986,6447,2026,,2021-01-20
Tiverton,891,12,6,,2021-01-20
Warren,910,55,32,,2021-01-20
Warwick,6091,376,136,,2021-01-20
West Greenwich,376,10,<5,,2021-01-20
West Warwick,2336,132,36,,2021-01-20
Westerly,1148,64,24,,2021-01-20
Woonsocket,3695,299,164,,2021-01-20
Barrington,964,58,12,,2021-01-27
Bristol,1806,87,61,,2021-01-27
Burrillville,1410,53,51,,2021-01-27
Central Falls,3785,207,23,,2021-01-27
Charlestown,365,17,<5,,2021-01-27
Coventry,2922,158,60,,2021-01-27
Cranston,9832,584,88,,2021-01-27
Cumberland,3000,189,70,,2021-01-27
East Greenwich,1229,52,9,,2021-01-27
