school,total_student_cases_avg,chng_total_student_cases_avg,total_staff_cases_avg,chng_total_staff_cases_avg
Kickemuit Middle School,12,0,0,0
Kingston Hill Academy,0,0,0,0
La Salle Academy,52,0,0,0
Leo A. Savoie School,12,0,0,0
Leviton Dual Language School,7,0,0,0
Lillian Feinstein Elementary Sackett Street,17,0,0,0
Lincoln Central Elementary School,0,0,0,0
Lincoln Middle School,22,0,0,0
Lincoln School,12,0,0,0
Lincoln Senior High School,42,0,0,0
Lippitt School,7,0,0,0
Lonsdale Elementary School,0,0,0,0
Love 4 All Childcare Center,0,0,0,0
Lyman B. Goff Middle School,42,0,0,0
M. Virginia Cunningham School,12,0,0,0
Maisie E. Quinn Elementary School,0,0,0,0
Mary E. Fogarty Elementary School,7,0,0,0
Matunuck School,0,0,0,0
Meadowbrook Farms School,0,0,0,0
Meadowbrook Waldorf School,0,0,0,0
Meeting Street School,0,0,0,0
Melville Elementary School,7,0,0,0
Metcalf School,7,0,0,0
Metropolitan Regional Career and Technical Center,57,0,0,0
Middlebridge School,0,0,0,0
Middletown High School,22,0,0,0
Montessori Centre of Barrington,0,0,0,0
Moses Brown School,12,0,0,0
Mount Pleasant Academy,0,0,0,0
Mount Pleasant High School,47,0,0,0
Mount St. Charles Academy,12,0,0,0
Msgr. Matthew F. Clarke Catholic Regional School,0,0,0,0
Mt. Hope High School,52,0,0,0
Myron J. Francis Elementary School,12,0,0,0
NEL/CPS Construction Career Academy,7,0,0,0
Narragansett Elementary School,7,0,0,0
Narragansett High School,12,0,0,0
Narragansett Pier School,0,0,0,0
Nathan Bishop Middle School,22,0,0,0
Nathanael Greene Elementary School (Pawtucket),27,0,0,0
Nathanael Greene Middle School (Providence),47,0,0,0
Nayatt School,7,0,0,0
Nicholas A. Ferri Middle School,27,0,0,0
North Cumberland Middle School,12,0,0,0
North Kingstown Senior High School,37,0,0,0
North Providence High School,62,0,0,0
North Scituate Elementary School,0,0,0,0
North Smithfield Elementary School,12,5,0,0
North Smithfield High School,17,0,0,0
North Smithfield Middle School,12,0,0,0
Northern Lincoln Elementary School,12,0,0,0
Northern RI Collaborative,0,0,0,0
Norwood School,0,0,0,0
Oak Lawn School,7,0,0,0
Oakland Beach Elementary School,12,0,0,0
Ocean State Academy,7,0,0,0
Ocean State Montessori School,0,0,0,0
Old County Road School,0,0,0,0
Orchard Farms Elementary School,12,0,0,0
Orlo Avenue School,12,0,0,0
Our Lady of Mt. Carmel,0,0,0,0
Park School,0,0,0,0
Park View Middle School,47,0,0,0
Pathways Strategic Teaching Center (Coventry),0,0,0,0
Pathways Strategic Teaching Center (Warwick),0,0,0,0
Paul Cuffee Lower School,17,5,0,0
Paul Cuffee Middle School,12,0,0,0
Paul Cuffee Upper School,22,0,0,0
Peace Dale Elementary School,7,0,0,0
Pilgrim High School,72,0,0,0
Pleasant View School,12,0,0,0
Pocasset School,0,0,0,0
Ponaganset High School,37,0,0,0
Ponaganset Middle School,7,0,0,0
Portsmouth Abbey School,0,0,0,0
Portsmouth High School,37,0,0,0
Portsmouth Middle School,7,0,0,0
Pothier-Citizens Elementary Campus,32,0,7,0
Potter-Burns School,17,0,0,0
Primrose Hill School,7,0,0,0
"Providence Career and Technical Academy (41 Fricker St, Providence)",32,0,0,0
Providence Country Day School,0,0,0,0
Providence Virtual Learning Academy,0,0,0,0
RI Nurses Institute Middle College Charter High School,17,0,0,0
RISE Prep Mayoral Academy Elementary School,7,0,0,0
Raices Dual Language Academy at Margaret I. Robertson School,17,0,0,0
Raymond C. LaPerche School,7,0,0,0
Reservoir Avenue School,12,0,0,0
Rhode Island Alternative Academy,0,0,0,0
Rhode Island School for the Deaf,0,0,0,0
Richmond Elementary School,0,0,0,0
Riverside Middle School,22,0,0,0
Robert F. Kennedy Elementary School,12,0,0,0
Robert L Bailey IV Elementary School,0,0,0,0
Rockwell School,12,0,0,0
Rocky Hill School,0,0,0,0
"Roger Williams Middle School (278 Thurbers Ave, Providence)",32,0,0,0
Rogers High School,37,0,0,0
Sacred Heart School,7,0,0,0
Samuel Slater Middle School,52,0,0,0
San Miguel School,7,0,0,0
Sanders Academy,0,0,0,0
Sarah Dyer Barnes School,0,0,0,0
Sargent Rehabilitation Center,0,0,0,0
Saylesville Elementary School,12,0,0,0
School One,0,0,0,0
Scituate High School,22,0,0,0
Scituate Middle School,7,0,0,0
Segue Institute for Learning,0,0,0,0
Sheila Skip Nowell Leadership Academy (Capital Campus),0,0,0,0
Sheila Skip Nowell Leadership Academy (Central Campus),0,0,0,0
Sherman School,7,0,0,0
Silver Spring School,7,0,0,0
Smithfield Senior High School,22,0,0,0
Sophia Academy,7,0,0,0
South Kingstown High School,32,0,0,0
SouthSide Elementary Charter School,7,0,0,0
Sowams Elementary School,0,0,0,0
Springbrook Elementary School,0,0,0,0
St. Andrew's School,0,0,0,0
St. Augustine School,0,0,0,0
St. Cecilia School,0,0,0,0
St. George's School,0,0,0,0
St. Joseph School,0,0,0,0
St. Kevin School,0,0,0,0
St. Luke School,0,0,0,0
St. Margaret School,0,0,0,0
St. Mary Academy-Bay View,12,0,0,0
St. Mary School of Cranston,0,0,0,0
St. Mary's Home for Children/George N. Hunt Campus School,0,0,0,0
St. Michael's Country Day School,0,0,0,0
St. Patrick School,0,0,0,0
St. Patrick's School,0,0,0,0
St. Paul School,0,0,0,0
St. Peter School,7,0,0,0
St. Philip School,0,0,0,0
St. Philomena School,0,0,0,0
St. Pius V School,7,0,0,0
St. Raphael Academy,12,0,0,0
St. Rocco School,0,0,0,0
St. Rose of Lima School,0,0,0,0
St. Teresa School,0,0,0,0
St. Thomas Regional School,0,0,0,0
Stadium Elementary School,7,0,0,0
State Street School,7,0,0,0
Steere Farm Elementary School,7,0,0,0
Stephen Olney School,12,0,0,0
Stone Hill School,12,0,0,0
Stony Lane Elementary School,0,0,0,0
Suzanne M. Henseler Quidnessett Elementary School,0,0,0,0
The Bradley School,0,0,0,0
The Croft School,0,0,0,0
The French-American School of RI,0,0,0,0
The Genesis Daycare Center,0,0,0,0
The Gordon School,0,0,0,0
The Greene School,7,0,0,0
"The Groden Center, Inc.",0,0,0,0
The Hope Academy,12,0,0,0
The Learning Community Charter School,42,0,7,0
The Pennfield School,0,0,0,0
The Prout School,0,0,0,0
The Providence Center School,0,0,0,0
The Sgt. Cornel Young Jr & Charlotte Woods Elementary School @ The B. Jae Clanton Complex,17,0,0,0
The Tides School - Pawtucket,0,0,0,0
The Tides School - West Warwick,0,0,0,0
The Wheeler School,17,0,0,0
The Wolf School,0,0,0,0
Thornton School,7,0,0,0
Times2 Elementary School,12,0,0,0
Times2 Middle/High School,22,0,0,0
Tiogue School,7,0,0,0
Tiverton High School,17,0,0,0
Tiverton Middle School,7,0,0,0
Toll Gate High School,62,0,0,0
Trinity Academy for the Performing Arts,22,0,0,0
Trinity Christian Academy,7,0,0,0
Urban Collaborative Accelerated Program,7,0,0,0
Vartan Gregorian Elementary School,7,0,0,0
Veazie Street School,22,0,0,0
Veterans Memorial Elementary,12,0,0,0
Village Green Virtual Charter School,32,0,0,0
Vincent J. Gallagher Middle School,32,0,0,0
Wakefield Elementary School,0,0,0,0
Wakefield Hills Elementary School,12,0,0,0
Walter E. Ranger School,0,0,0,0
Warwick Area Career and Technical Center,0,0,0,0
Warwick Early Learning Center at John Brown Francis,0,0,0,0
Warwick Neck School,7,0,0,0
Warwick Veterans Middle School,42,0,0,0
Washington Oak School,12,0,0,0
Wawaloam School,0,0,0,0
Webster Avenue School,7,0,0,0
West Bay Collaborative,0,0,0,0
West Broadway Middle School,27,0,0,0
West Glocester Elementary,0,0,0,0
West Kingston Elementary School,0,0,0,0
West Warwick Senior High School,52,0,7,0
Westerly High School,22,0,0,0
Westerly Middle School,17,0,0,0
Western Coventry School,7,0,0,0
Western Hills Middle School,42,0,0,0
Wickford Middle School,0,0,0,0
"William B. Cooley, Sr. High School and the Providence Academy of International Studies High School",17,0,0,0
William D'Abate Elementary School,7,0,0,0
William E Tolman Senior High School,67,0,0,0
William L. Callahan School,12,0,0,0
William R. Dutemple School,7,0,0,0
William Winsor School,0,0,0,0
Winman Middle School,37,0,0,0
Winsor Hill School,7,0,0,0
Wm. M. Davies Jr. Career-Technical High School,17,0,0,0
Woodridge School,7,0,0,0
Woonsocket High School,102,0,7,0
Woonsocket Middle School at Hamlet,32,0,0,0
Woonsocket Middle School at Villa Nova,27,0,0,0
