date,first_date_scraped,first_reported_deaths,date_scraped,current_deaths,diff
2020-06-23,2020-06-24,1,2021-03-25,7,6
2020-06-24,2020-06-25,1,2021-03-25,5,4
2020-06-25,2020-06-26,0,2021-03-25,1,1
2020-06-26,2020-06-29,1,2021-03-25,1,0
2020-06-27,2020-06-29,4,2021-03-25,5,1
2020-06-28,2020-06-29,0,2021-03-25,6,6
2020-06-29,2020-06-30,0,2021-03-25,1,1
2020-06-30,2020-07-01,0,2021-03-25,5,5
2020-07-01,2020-07-02,0,2021-03-25,1,1
2020-07-02,2020-07-03,0,2021-03-25,3,3
2020-07-03,2020-07-07,3,2021-03-25,3,0
2020-07-04,2020-07-07,1,2021-03-25,2,1
2020-07-05,2020-07-07,2,2021-03-25,2,0
2020-07-06,2020-07-07,3,2021-03-25,4,1
2020-07-07,2020-07-08,1,2021-03-25,2,1
2020-07-08,2020-07-10,0,2021-03-25,0,0
2020-07-09,2020-07-10,0,2021-03-25,0,0
2020-07-10,2020-07-13,1,2021-03-25,3,2
2020-07-11,2020-07-13,2,2021-03-25,3,1
2020-07-12,2020-07-13,3,2021-03-25,3,0
2020-07-13,2020-07-14,0,2021-03-25,1,1
2020-07-14,2020-07-16,1,2021-03-25,1,0
2020-07-15,2020-07-16,0,2021-03-25,0,0
2020-07-16,2020-07-17,1,2021-03-25,1,0
2020-07-17,2020-07-20,0,2021-03-25,2,2
2020-07-18,2020-07-20,3,2021-03-25,4,1
2020-07-19,2020-07-20,1,2021-03-25,2,1
2020-07-20,2020-07-21,1,2021-03-25,2,1
2020-07-21,2020-07-22,1,2021-03-25,1,0
2020-07-22,2020-07-23,1,2021-03-25,1,0
2020-07-23,2020-07-24,0,2021-03-25,0,0
2020-07-24,2020-07-27,0,2021-03-25,0,0
2020-07-25,2020-07-27,1,2021-03-25,3,2
2020-07-26,2020-07-27,1,2021-03-25,1,0
2020-07-27,2020-07-28,1,2021-03-25,1,0
2020-07-28,2020-07-29,1,2021-03-25,1,0
2020-07-29,2020-07-30,0,2021-03-25,0,0
2020-07-30,2020-07-31,0,2021-03-25,1,1
2020-07-31,2020-08-03,0,2021-03-25,1,1
2020-08-01,2020-08-03,1,2021-03-25,1,0
2020-08-02,2020-08-03,2,2021-03-25,2,0
2020-08-03,2020-08-04,1,2021-03-25,1,0
2020-08-04,2020-08-05,1,2021-03-25,2,1
2020-08-05,2020-08-06,2,2021-03-25,2,0
2020-08-06,2020-08-07,0,2021-03-25,0,0
2020-08-07,2020-08-10,1,2021-03-25,2,1
2020-08-08,2020-08-10,0,2021-03-25,1,1
2020-08-09,2020-08-10,0,2021-03-25,0,0
2020-08-10,2020-08-11,1,2021-03-25,1,0
2020-08-11,2020-08-12,1,2021-03-25,3,2
2020-08-12,2020-08-13,1,2021-03-25,1,0
2020-08-13,2020-08-14,0,2021-03-25,0,0
2020-08-14,2020-08-17,1,2021-03-25,3,2
2020-08-15,2020-08-17,0,2021-03-25,0,0
2020-08-16,2020-08-17,1,2021-03-25,7,6
2020-08-17,2020-08-18,0,2021-03-25,2,2
2020-08-18,2020-08-19,0,2021-03-25,5,5
2020-08-19,2020-08-20,0,2021-03-25,0,0
