zip_code,count,date,change,change_%,population,rate_per_10k
2893,2187,01/13/2021,168,0.08320950965824658,29630,738.1032737090787
2832,207,01/13/2021,18,0.09523809523809534,4608,449.21875
2864,2634,01/13/2021,234,0.09749999999999992,33396,788.7172116421129
2919,3298,01/13/2021,268,0.08844884488448845,28790,1145.5366446682876
2896,826,01/13/2021,73,0.09694555112881797,11537,715.957354598249
2860,5621,01/13/2021,376,0.07168732125834132,45199,1243.6115843270868
2879,999,01/13/2021,109,0.12247191011235947,20371,490.4030239065338
2827,152,01/13/2021,6,0.041095890410958846,2172,699.8158379373849
2833,19,01/13/2021,0,0.0,784,242.34693877551018
2838,358,01/13/2021,27,0.08157099697885206,3400,1052.9411764705883
2815,14,01/13/2021,3,0.2727272727272727,278,503.59712230215825
2863,3549,01/13/2021,164,0.04844903988183158,19385,1830.797007995873
2874,306,01/13/2021,35,0.12915129151291516,5860,522.184300341297
2915,1142,01/13/2021,110,0.10658914728682167,16897,675.8596200508966
2817,345,01/13/2021,50,0.1694915254237288,6135,562.3471882640587
2814,487,01/13/2021,41,0.09192825112107617,7496,649.6798292422626
2904,3522,01/13/2021,223,0.067596241285238,29359,1199.6321400592662
2840,989,01/13/2021,140,0.1648998822143699,23335,423.8268695093208
2886,2134,01/13/2021,183,0.09379805228088167,29269,729.0990467730363
2907,4688,01/13/2021,230,0.05159264244055639,27445,1708.1435598469666
2831,332,01/13/2021,20,0.0641025641025641,3515,944.5234708392602
2813,320,01/13/2021,23,0.07744107744107742,7831,408.6323585748947
2908,5213,01/13/2021,352,0.072413083727628,37467,1391.3577281340913
2816,2334,01/13/2021,212,0.09990574929311968,32611,715.7094232007605
2858,52,01/13/2021,7,0.15555555555555545,570,912.280701754386
2802,38,01/13/2021,4,0.11764705882352944,786,483.4605597964377
2914,2234,01/13/2021,174,0.08446601941747578,21963,1017.1652324363703
2895,3384,01/13/2021,274,0.08810289389067516,41186,821.6384208226096
2809,1564,01/13/2021,198,0.14494875549048314,22938,681.8379980817857
2842,639,01/13/2021,82,0.14721723518850993,16095,397.0177073625349
2881,218,01/13/2021,8,0.03809523809523818,7841,278.0257620201505
2875,16,01/13/2021,0,0.0,307,521.1726384364821
2818,1070,01/13/2021,129,0.13708820403825728,18082,591.7487003650039
2911,1346,01/13/2021,123,0.10057236304170081,15574,864.2609477334017
