city_town,county,count,change,change_%,rate_per_10k,date
Hopkinton,Washington,0,0,0.0,0.0,3/27/2020
Narragansett,Washington,0,0,0.0,0.0,3/27/2020
Middletown,Newport,6,0,0.0,3.7267080745341614,3/27/2020
West Warwick,Kent,0,0,0.0,0.0,3/27/2020
Jamestown,Newport,0,0,0.0,0.0,3/27/2020
Little Compton,Newport,0,0,0.0,0.0,3/27/2020
Barrington,Bristol,5,5,0.0,3.0829942039708964,3/27/2020
Lincoln,Providence,0,0,0.0,0.0,3/27/2020
Burrillville,Providence,0,0,0.0,0.0,3/27/2020
Johnston,Providence,5,-1,-0.16666666666666663,1.7147364450084024,3/27/2020
North Kingstown,Washington,8,8,0.0,3.0560012224004893,3/27/2020
Richmond,Washington,0,0,0.0,0.0,3/27/2020
Portsmouth,Newport,0,0,0.0,0.0,3/27/2020
Cranston,Providence,21,3,0.16666666666666674,2.593264920534953,3/27/2020
Scituate,Providence,0,0,0.0,0.0,3/27/2020
Warren,Bristol,0,0,0.0,0.0,3/27/2020
Tiverton,Newport,0,0,0.0,0.0,3/27/2020
South Kingstown,Washington,8,1,0.1428571428571428,2.6048450117218027,3/27/2020
Smithfield,Providence,0,0,0.0,0.0,3/27/2020
Cumberland,Providence,7,2,0.3999999999999999,2.0291031364137053,3/27/2020
Woonsocket,Providence,0,0,0.0,0.0,3/27/2020
Westerly,Washington,5,5,0.0,2.209847078582162,3/27/2020
Westerly,Washington,5,0,0.0,2.209847078582162,3/28/2020
West Warwick,Kent,5,5,0.0,1.741614127973806,3/28/2020
North Smithfield,Providence,0,0,0.0,0.0,3/28/2020
Warren,Bristol,0,0,0.0,0.0,3/28/2020
Middletown,Newport,6,0,0.0,3.7267080745341614,3/28/2020
South Kingstown,Washington,8,0,0.0,2.6048450117218027,3/28/2020
Glocester,Providence,0,0,0.0,0.0,3/28/2020
Cranston,Providence,27,6,0.2857142857142858,3.334197754973512,3/28/2020
North Kingstown,Washington,8,0,0.0,3.0560012224004893,3/28/2020
West Greenwich,Kent,0,0,0.0,0.0,3/28/2020
Foster,Providence,0,0,0.0,0.0,3/28/2020
Narragansett,Washington,0,0,0.0,0.0,3/28/2020
Newport,Newport,5,0,0.0,2.0206102242877346,3/28/2020
North Providence,Providence,0,0,0.0,0.0,3/28/2020
Smithfield,Providence,5,5,0.0,2.3136365739669613,3/28/2020
Charlestown,Washington,0,0,0.0,0.0,3/28/2020
East Greenwich,Kent,0,0,0.0,0.0,3/28/2020
Hopkinton,Washington,0,0,0.0,0.0,3/28/2020
New Shoreham,Washington,0,0,0.0,0.0,3/28/2020
Jamestown,Newport,0,0,0.0,0.0,3/28/2020
Coventry,Kent,5,0,0.0,1.4337739798698133,3/28/2020
Portsmouth,Newport,0,0,0.0,0.0,3/28/2020
Cumberland,Providence,7,0,0.0,2.0291031364137053,3/28/2020
East Providence,Providence,10,1,0.11111111111111116,2.1085925144965736,3/28/2020
Burrillville,Providence,7,7,0.0,4.2779441422722,3/28/2020
Lincoln,Providence,0,0,0.0,0.0,3/28/2020
Pawtucket,Providence,11,2,0.22222222222222232,1.5326738191444893,3/28/2020
Warwick,Kent,14,3,0.2727272727272727,1.7237558176758847,3/28/2020
Tiverton,Newport,5,5,0.0,3.15059861373661,3/28/2020
Bristol,Bristol,0,0,0.0,0.0,3/28/2020
Little Compton,Newport,0,0,0.0,0.0,3/28/2020
Providence,Providence,59,2,0.03508771929824572,3.286743283066587,3/28/2020
Johnston,Providence,5,0,0.0,1.7147364450084024,3/28/2020
Barrington,Bristol,6,1,0.19999999999999996,3.6995930447650758,3/28/2020
Woonsocket,Providence,0,0,0.0,0.0,3/28/2020
Richmond,Washington,0,0,0.0,0.0,3/28/2020
Scituate,Providence,0,0,0.0,0.0,3/28/2020
Exeter,Washington,0,0,0.0,0.0,3/28/2020
Central Falls,Providence,0,0,0.0,0.0,3/28/2020
East Greenwich,Kent,0,0,0.0,0.0,3/29/2020
Johnston,Providence,7,2,0.3999999999999999,2.4006310230117633,3/29/2020
Coventry,Kent,6,1,0.19999999999999996,1.720528775843776,3/29/2020
New Shoreham,Washington,0,0,0.0,0.0,3/29/2020
Jamestown,Newport,0,0,0.0,0.0,3/29/2020
Lincoln,Providence,0,0,0.0,0.0,3/29/2020
Tiverton,Newport,5,0,0.0,3.15059861373661,3/29/2020
Hopkinton,Washington,0,0,0.0,0.0,3/29/2020
Narragansett,Washington,0,0,0.0,0.0,3/29/2020
Burrillville,Providence,7,0,0.0,4.2779441422722,3/29/2020
Middletown,Newport,6,0,0.0,3.7267080745341614,3/29/2020
Little Compton,Newport,0,0,0.0,0.0,3/29/2020
South Kingstown,Washington,8,0,0.0,2.6048450117218027,3/29/2020
Barrington,Bristol,6,0,0.0,3.6995930447650758,3/29/2020
West Warwick,Kent,6,1,0.19999999999999996,2.0899369535685675,3/29/2020
Westerly,Washington,5,0,0.0,2.209847078582162,3/29/2020
Richmond,Washington,0,0,0.0,0.0,3/29/2020
Newport,Newport,6,1,0.19999999999999996,2.4247322691452817,3/29/2020
Bristol,Bristol,5,5,0.0,2.2403441168563494,3/29/2020
Providence,Providence,63,4,0.06779661016949157,3.5095733361558477,3/29/2020
Cumberland,Providence,8,1,0.1428571428571428,2.318975013044234,3/29/2020
East Providence,Providence,13,3,0.30000000000000004,2.7411702688455457,3/29/2020
Warren,Bristol,0,0,0.0,0.0,3/29/2020
Portsmouth,Newport,0,0,0.0,0.0,3/29/2020
Warwick,Kent,16,2,0.1428571428571428,1.9700066487724397,3/29/2020
Central Falls,Providence,0,0,0.0,0.0,3/29/2020
